@relation soccer_combined

@attribute x0 numeric
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute class {home,draw,away}

@data
1.5,4.0,7.0,175.0,62.0,55.0,45.0,60.0,60.0,168.0,42.0,63.0,56.0,39.0,66.0,2.0,0.0,2.0,1.0,0.0,2.0,-2.0,0.0,home
2.1,3.1,3.4,105.0,30.0,45.0,70.0,30.0,30.0,132.0,48.0,43.0,48.0,38.0,51.0,1.0,1.0,0.0,0.5,0.2,1.2,-1.0,0.1,draw
2.05,3.3,3.6,169.0,37.0,70.0,54.0,52.0,47.0,156.0,49.0,53.0,38.0,38.0,65.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,away
2.4,3.3,2.9,154.0,47.0,47.0,53.0,57.0,50.0,131.0,53.0,51.0,37.0,40.0,40.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
7.5,3.8,1.5,159.0,60.0,68.0,44.0,36.0,55.0,133.0,65.0,36.0,56.0,61.0,36.0,1.0,6.0,-5.0,0.0,6.0,1.0,5.0,1.0,away
1.8,3.5,4.5,132.0,51.0,42.0,41.0,51.0,39.0,185.0,48.0,68.0,54.0,59.0,58.0,0.4,1.2,-0.8,0.1,1.2,2.0,-0.8,0.1,draw
3.3,3.25,2.2,141.0,52.0,44.0,62.0,43.0,54.0,121.0,45.0,37.0,58.0,49.0,35.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,away
3.0,3.25,2.4,154.0,50.0,44.0,56.0,43.0,67.0,158.0,48.0,48.0,53.0,50.0,60.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,draw
2.1,3.4,3.4,190.0,70.0,60.0,70.0,60.0,70.0,154.0,41.0,50.0,55.0,43.0,61.0,0.8,2.2,-1.4,0.0,1.8,1.0,0.8,0.9,away
1.25,5.5,12.0,165.0,60.0,71.0,73.0,49.0,45.0,148.0,46.0,54.0,57.0,50.0,44.0,1.0,2.0,-1.0,0.0,1.0,0.0,1.0,1.0,home
2.4,2.9,3.3,154.0,47.0,49.0,38.0,57.0,48.0,144.0,46.0,52.0,67.0,43.0,49.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,home
2.25,2.9,3.6,130.0,70.0,49.0,35.0,36.0,45.0,130.0,35.0,40.0,70.0,45.0,45.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,draw
